;name;link;down_salary;top_salary;website_origin;salary_value
42;Специалист по автоматизации тестирования / Junior QA Automation Engineer;https://hh.ru/vacancy/36678188?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;None;None;hh.ru;None
43;Инженер-конструктор (оборудование);https://hh.ru/vacancy/36671183?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;90000;None;hh.ru;руб.
44;Инженер-проектировщик;https://hh.ru/vacancy/36672652?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;40000;None;hh.ru;руб.
45;Инженер слаботочных систем;https://hh.ru/vacancy/36327977?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;120000;150000;hh.ru;руб.
46;Инженер по качеству/входному контролю;https://hh.ru/vacancy/36669305?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;None;None;hh.ru;None
47;Инженер-схемотехник;https://hh.ru/vacancy/36386238?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;80000;None;hh.ru;руб.
48;Инженер техподдержки клиентов;https://hh.ru/vacancy/36400681?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;70000;None;hh.ru;руб.
49;Инженер ОТК;https://hh.ru/vacancy/36617767?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;60000;None;hh.ru;руб.
50;Инженер-эколог;https://hh.ru/vacancy/36671618?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;50000;70000;hh.ru;руб.
51;Ведущий инженер- эколог;https://hh.ru/vacancy/36663137?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;80000;None;hh.ru;руб.
52;Инженер ОТК;https://hh.ru/vacancy/36401759?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;70000;None;hh.ru;руб.
53;Инженер испытатель в ИЛ;https://hh.ru/vacancy/36433976?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;50000;80000;hh.ru;руб.
54;Инженер / механик технологического оборудования;https://hh.ru/vacancy/36401728?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;None;None;hh.ru;None
55;Инженер IPM (Управление проектами);https://hh.ru/vacancy/36452995?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;None;None;hh.ru;None
56;Инженер нефтегазового дела;https://hh.ru/vacancy/36494585?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;None;None;hh.ru;None
57;Инженер технического надзора электроснабжения и наружного освещения;https://hh.ru/vacancy/36381740?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;100000;None;hh.ru;руб.
58;Ведущий инженер ОВиК;https://hh.ru/vacancy/36099536?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;100000;300000;hh.ru;руб.
59;Кадастровый инженер/помощник кадастрового инженера;https://hh.ru/vacancy/36526843?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;50000;140000;hh.ru;руб.
60;Инженер;https://hh.ru/vacancy/36550590?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;100000;None;hh.ru;руб.
61;Инженер-обследователь;https://hh.ru/vacancy/36661881?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;80000;None;hh.ru;руб.
62;Инженер ПТО;https://hh.ru/vacancy/36312481?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;80000;None;hh.ru;руб.
63;Инженер-конструктор;https://hh.ru/vacancy/36666205?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;60000;70000;hh.ru;руб.
64;Инженер по обследованию зданий и сооружений;https://hh.ru/vacancy/36283231?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;60000;90000;hh.ru;руб.
65;Инженер-испытатель;https://hh.ru/vacancy/36306134?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;60000;None;hh.ru;руб.
66;Инженер по тестированию;https://hh.ru/vacancy/36631633?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;None;None;hh.ru;None
67;Инженер ПТО;https://hh.ru/vacancy/36385969?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;55000;60000;hh.ru;руб.
68;Главный инженер проекта;https://hh.ru/vacancy/36446206?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;120000;None;hh.ru;руб.
69;Инженер-сметчик;https://hh.ru/vacancy/36660334?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;70000;90000;hh.ru;руб.
70;Главный инженер по эксплуатации;https://hh.ru/vacancy/36593858?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;200000;None;hh.ru;руб.
71;Инженер-проектировщик (ОВ, ИТП);https://hh.ru/vacancy/36563354?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;60000;None;hh.ru;руб.
72;Инженер АСУТП;https://hh.ru/vacancy/36606167?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;70000;None;hh.ru;руб.
73;Инженер-конструктор;https://hh.ru/vacancy/36367268?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;75000;None;hh.ru;руб.
74;Инженер-электромонтажник;https://hh.ru/vacancy/36616900?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;60000;60000;hh.ru;руб.
75;Инженер-конструктор;https://hh.ru/vacancy/36292009?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;50000;80000;hh.ru;руб.
76;Ведущий инженер-сметчик;https://hh.ru/vacancy/36291532?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;100000;110000;hh.ru;руб.
77;Инженер по эксплуатации оборудования (пищевое производство);https://hh.ru/vacancy/36449017?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;60000;None;hh.ru;руб.
78;Ведущий инженер-схемотехник РЭА;https://hh.ru/vacancy/36401722?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;110000;None;hh.ru;руб.
