;name;link;down_salary;top_salary;website_origin;salary_value
0;Инженер связи (г. Москва);https://hh.ru/vacancy/36656978?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;;150000.0;hh.ru;руб.
1;Главный инженер по разработке (инженер-программист);https://hh.ru/vacancy/36532288?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;;;hh.ru;
2;Специалист по автоматизации тестирования / Junior QA Automation Engineer;https://hh.ru/vacancy/36678188?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;;;hh.ru;
3;Инженер-конструктор (оборудование);https://hh.ru/vacancy/36671183?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;90000.0;;hh.ru;руб.
4;Инженер-проектировщик;https://hh.ru/vacancy/36672652?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;40000.0;;hh.ru;руб.
5;VoIP - Инженер;https://hh.ru/vacancy/36637430?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;150000.0;180000.0;hh.ru;руб.
6;Помощник кадастрового инженера;https://hh.ru/vacancy/36676247?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;30000.0;;hh.ru;руб.
7;Инженер слаботочных систем;https://hh.ru/vacancy/36327977?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;120000.0;150000.0;hh.ru;руб.
8;Инженер по качеству/входному контролю;https://hh.ru/vacancy/36669305?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;;;hh.ru;
9;Инженер по тестированию оборудования;https://hh.ru/vacancy/36674472?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;45000.0;;hh.ru;руб.
10;Инженер-схемотехник;https://hh.ru/vacancy/36386238?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;80000.0;;hh.ru;руб.
11;Инженер техподдержки клиентов;https://hh.ru/vacancy/36400681?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;70000.0;;hh.ru;руб.
12;Инженер ОТК;https://hh.ru/vacancy/36617767?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;60000.0;;hh.ru;руб.
